,date,text,favorite_count
0,Thu Jan 02 00:14:22 +0000 2025,横になってると立ってられないや ,803
1,Tue Dec 31 22:32:10 +0000 2024,今年初めての初詣に来ました ,1172
2,Mon Dec 30 05:20:05 +0000 2024,今年も予定通り大晦日を迎えることが出来そうです ,504
3,Sun Dec 29 05:37:15 +0000 2024,右手に持ってるのはどっちだ ,439
4,Sat Dec 28 05:06:34 +0000 2024,逃亡犯は逃げた方に向かったそうですよ ,792
5,Fri Dec 27 03:28:14 +0000 2024,"「進次郎構文検定」を受けた結果、100点で合格でした。



#kentei_maker #進次郎構文検定",115
6,Fri Dec 27 03:21:56 +0000 2024,食べただけで減っちゃうね ,922
7,Thu Dec 26 07:07:56 +0000 2024,来た道から来たんだよね？ ,1580
8,Wed Dec 25 00:29:10 +0000 2024,"記者「クリスマスはお子さんの枕元に何を置いたんですか？」

小泉「プレゼントです」 ",617
9,Mon Dec 23 10:13:20 +0000 2024,おたくも今年のイブはクリスマスの前日にやるんですか？ ,2027
10,Sun Dec 22 02:57:36 +0000 2024,今日はインナーに肌着を着てきてるんです ,662
11,Thu Dec 19 01:50:38 +0000 2024,この車は走った分だけ走行距離が伸びるんですか？ ,1049
12,Wed Dec 18 03:40:29 +0000 2024,これから行き先に行ってきまーす ,1478
